FUENTE: Ministerio de Agricultura, Pesca y Alimentación				
				
				
Alava				
				
	Comarca 01: Cantábrica			
	224	Ventosilla y Tejadilla		
	225	Villacastín		
	233	Zarzuela del Monte		
				
				
Sevilla				
				
				
	Comarca 01: La Sierra Norte			
				
	002	Alanís		
	009	Almadén de la Plata		
	013	Aznalcóllar		
	027	Castilblanco de los Arroyos		
	031	Castillo de las Guardas (El)		
	032	Cazalla de la Sierra		
	033	Constantina		
	043	Garrobo (El)		
	045	Gerena		
	048	Guadalcanal		
	049	Guillena		
	057	Madroño (El)		
	066	Navas de la Concepción (Las)		
	073	Pedroso (El)		
	078	Puebla de los Infantes (La)		
	080	Real de la Jara (El)		
	083	Ronquillo (El)		
	088	San Nicolás del Puerto		
				
	Comarca 02: La Vega			
				
	005	Alcalá del Río		
	006	Alcolea del Río		
	007	Algaba (La)		
	018	Brenes		
	019	Burguillos		
	021	Camas		
	023	Cantillana		
	034	Coria del Río		
	038	Dos Hermanas		
	044	Gelves		
	055	Lora del Río		
	069	Palacios y Villafranca (Los)		
	070	Palomares del Río		
	074	Peñaflor		
	081	Rinconada (La)		
	086	San Juan de Aznalfarache		
	089	Santiponce		
	091	Sevilla		
	092	Tocina		
	099	Villanueva del Río y Minas		
	101	Villaverde del Río		
				
	Comarca 03: El Aljarafe			
				
	003	Albaida del Aljarafe		
	010	Almensilla		
	015	Benacazón		
	016	Bollullos de la Mitación		
	017	Bormujos		
	025	Carrión de los Céspedes		
	028	Castilleja de Guzmán		
	029	Castilleja de la Cuesta		
	030	Castilleja del Campo		
	040	Espartinas		
	047	Gines		
	051	Huévar		
	059	Mairena del Aljarafe		
	067	Olivares		
	075	Pilas		
	085	Salteras		
	087	Sanlúcar la Mayor		
	093	Tomares		
	094	Umbrete		
	096	Valencina de la Concepción		
	098	Villanueva del Ariscal		
				
	Comarca 04: Las Marismas			
				
	012	Aznalcázar		
	079	Puebla del Río (La)		
	902	Villafranco del Guadalquivir		
	097	Villamanrique de la Condesa		
				
	Comarca 05: La Campiña			
				
	004	Alcalá de Guadaira		
	011	Arahal		
	020	Cabezas de San Juan (Las)		
	022	Campana (La)		
	901	Cañada Rosal		
	024	Carmona		
	036	Coronil (El)		
	903	Cuervo de Sevilla (El)		
	039	Écija		
	042	Fuentes de Andalucía		
	052	Lantejuela (La)		
	053	Lebrija		
	056	Luisiana (La)		
	058	Mairena del Alcor		
	060	Marchena		
	063	Molares (Los)		
	068	Osuna		
	071	Paradas		
	084	Rubio (El)		
	095	Utrera		
	102	Viso del Alcor (El)		
				
	Comarca 06: La Sierra Sur			
				
	008	Algámitas		
	035	Coripe		
	037	Corrales (Los)		
	062	Martín de la Jara		
	064	Montellano		
	065	Morón de la Frontera		
	076	Pruna		
	077	Puebla de Cazalla (La)		
	090	Saucejo (El)		
	100	Villanueva de San Juan		
				
	Comarca 07: De Estepa			
				
	001	Aguadulce		
	014	Badolatosa		
	026	Casariche		
	041	Estepa		
	046	Gilena		
	050	Herrera		
	054	Lora de Estepa		
	061	Marinaleda		
	072	Pedrera		
	082	Roda de Andalucía (La)		
				
				
Soria				
				
				
	Comarca 01: Pinares			
				
	001	Abejar		
	045	Cabrejas del Pinar		
	055	Casarejos		
	069	Covaleda		
	070	Cubilla		
	078	Duruelo de la Sierra		
	098	Herrera de Soria		
	117	Molinos de Duero		
	121	Montenegro de Cameros		
	124	Muriel de la Fuente		
	125	Muriel Viejo		
	129	Navaleno		
	161	Salduero		
	164	San Leonardo de Yagüe		
	178	Talveila		
	190	Vadillo		
	215	Vinuesa		
				
	Comarca 02: Tierras Altas y Valle del Tera			
				
	010	Aldealices		
	014	Aldehuelas (Las)		
	019	Almarza		
	027	Arévalo de la Sierra		
	028	Ausejo de la Sierra		
	054	Carrascosa de la Sierra		
	056	Castilfrío de la Sierra		
	060	Cerbón		
	062	Cigudosa		
	082	Estepa de San Juan		
	092	Fuentes de Magaña		
	093	Fuentestrún		
	107	Magaña		
	135	Oncala		
	141	Póveda de Soria (La)		
	151	Rebollar		
	159	Rollamienta		
	160	Royo (El)		
	163	San Felices		
	165	San Pedro Manrique		
	166	Santa Cruz de Yanguas		
	174	Sotillo del Rincón		
	175	Suellacabras		
	188	Trévago		
	191	Valdeavellano de Tera		
	192	Valdegeña		
	193	Valdelagua del Cerro		
	196	Valdeprado		
	198	Valtajeros		
	207	Villar del Ala		
	209	Villar del Río		
	216	Vizmanos		
	218	Yanguas		
				
	Comarca 03: Burgo de Osma			
				
	007	Alcubilla de Avellaneda		
	043	Burgo de Osma-Ciudad de Osma		
	052	Caracena		
	053	Carrascosa de Abajo		
	058	Castillejo de Robledo		
	080	Espeja de San Marcelino		
	081	Espejón		
	084	Fresno de Caracena		
	085	Fuentearmegil		
	086	Fuentecambrón		
	103	Langa de Duero		
	105	Liceras		
	116	Miño de San Esteban		
	120	Montejo de Tiermes		
	127	Nafría de Ucero		
	152	Recuerda		
	155	Retortillo de Soria		
	162	San Esteban de Gormaz		
	168	Santa María de las Hoyas		
	189	Ucero		
	194	Valdemaluque		
	206	Villanueva de Gormaz		
				
	Comarca 04: Soria			
				
	032	Bayubas de Abajo		
	033	Bayubas de Arriba		
	036	Blacos		
	046	Calatañazor		
	061	Cidones		
	071	Cubo de la Solana		
	090	Fuentepinilla		
	094	Garray		
	095	Golmayo		
	097	Gormaz		
	144	Quintana Redonda		
	145	Quintanas de Gormaz		
	149	Rábanos (Los)		
	158	Rioseco de Soria		
	173	Soria		
	177	Tajueco		
	181	Tardelcuende		
	185	Torreblacos		
	195	Valdenebro		
	197	Valderrodilla		
	205	Villaciervos		
				
	Comarca 05: Campo de Gómara			
				
	004	Ágreda		
	006	Alconaba		
	009	Aldealafuente		
	011	Aldealpozo		
	012	Aldealseñor		
	013	Aldehuela de Periáñez		
	016	Aliud		
	017	Almajano		
	018	Almaluez		
	021	Almazul		
	022	Almenar de Soria		
	024	Arancón		
	034	Beratón		
	037	Bliecos		
	039	Borobia		
	041	Buberos		
	042	Buitrago		
	044	Cabrejas del Campo		
	049	Candilichera		
	050	Cañamaque		
	051	Carabantes		
	057	Castilruiz		
	063	Cihuela		
	064	Ciria		
	065	Cirujales del Río		
	073	Cueva de Ágreda		
	075	Dévanos		
	076	Deza		
	087	Fuentecantos		
	088	Fuentelmonge		
	089	Fuentelsaz de Soria		
	096	Gómara		
	100	Hinojosa del Campo		
	106	Losilla (La)		
	110	Matalebreras		
	119	Monteagudo de las Vicarías		
	128	Narros		
	132	Noviercas		
	134	Ólvega		
	139	Pinilla del Campo		
	140	Portillo de Soria		
	142	Pozalmuro		
	148	Quiñonería		
	154	Renieblas		
	156	Reznos		
	167	Santa María de Huerta		
	171	Serón de Nágima		
	176	Tajahuerce		
	183	Tejado		
	184	Torlengua		
	187	Torrubia de Soria		
	201	Velilla de la Sierra		
	202	Velilla de los Ajos		
	208	Villar del Campo		
	211	Villares de Soria (Los)		
	213	Villaseca de Arciel		
	217	Vozmediano		
				
	Comarca 06: Almazán			
				
	003	Adradas		
	015	Alentisque		
	020	Almazán		
	026	Arenillas		
	030	Barca		
	031	Barcones		
	035	Berlanga de Duero		
	038	Borjabad		
	048	Caltojar		
	059	Centenera de Andaluz		
	068	Coscurita		
	079	Escobosa de Almazán		
	083	Frechilla de Almazán		
	108	Maján		
	111	Matamala de Almazán		
	118	Momblona		
	123	Morón de Almazán		
	130	Nepas		
	131	Nolay		
	153	Rello		
	157	Riba de Escalote (La)		
	172	Soliedra		
	182	Taroda		
	200	Velamazán		
	204	Viana de Duero		
				
	Comarca 07: Arcos de Jalón			
				
	008	Alcubilla de las Peñas		
	023	Alpanseque		
	025	Arcos de Jalón		
	029	Baraona		
	113	Medinaceli		
	115	Miño de Medinaceli		
	212	Villasayas		
	219	Yelo		
				
				
Tarragona				
				
				
	Comarca 01: Terra-Alta			
				
	018	Arnes		
	022	Batea		
	032	Bot		
	041	Caseres		
	048	Corbera d'Ebre		
	056	Fatarella (La)		
	064	Gandesa		
	071	Horta de Sant Joan		
	106	Pinell de Brai (El)		
	110	Pobla de Massaluca (La)		
	117	Prat de Comte		
	175	Vilalba dels Arcs		
				
	Comarca 02: Ribera de Ebro			
				
	019	Ascó		
	026	Benissanet		
	060	Flix		
	065	Garcia		
	067	Ginestar		
	084	Miravet		
	093	Móra d'Ebre		
	094	Móra la Nova		
	121	Rasquera		
	125	Riba-roja d'Ebre		
	150	Tivissa		
	152	Torre de l'Espanyol (La)		
	177	Vinebre		
				
	Comarca 03: Bajo Ebro			
				
	004	Alcanar		
	904	Aldea (L')		
	006	Aldover		
	008	Alfara de Carles		
	013	Ametlla de Mar (L')		
	906	Ampolla (L')		
	014	Amposta		
	025	Benifallet		
	903	Camarles		
	901	Deltebre		
	062	Freginals		
	063	Galera (La)		
	068	Godall		
	077	Mas de Barberans		
	078	Masdenverge		
	102	Paüls		
	104	Perelló (El)		
	133	Roquetes		
	136	Sant Carles de la Ràpita		
	902	Sant Jaume d'Enveja		
	138	Santa Bàrbara		
	044	Sénia (La)		
	149	Tivenys		
	155	Tortosa		
	156	Ulldecona		
	052	Xerta		
				
	Comarca 04: Priorato-Prades			
				
	015	Arbolí		
	023	Bellmunt del Priorat		
	027	Bisbal de Falset (La)		
	035	Cabacés		
	039	Capafonts		
	040	Capçanes		
	049	Cornudella de Montsant		
	055	Falset		
	057	Febró (La)		
	058	Figuera (La)		
	069	Gratallops		
	070	Guiamets (Els)		
	072	Lloar (El)		
	076	Marçà		
	075	Margalef		
	082	Masroig (El)		
	085	Molar (El)		
	091	Mont-ral		
	096	Morera de Montsant (La)		
	099	Palma d'Ebre (La)		
	112	Poboleda		
	114	Porrera		
	115	Pradell de la Teixeta		
	116	Prades		
	151	Torre de Fontaubella (La)		
	154	Torroja del Priorat		
	157	Ulldemolins		
	168	Vilanova de Prades		
	173	Vilella Alta (La)		
	174	Vilella Baixa (La)		
				
	Comarca 05: Conca de Barberá			
				
	021	Barberà de la Conca		
	029	Blancafort		
	054	Espluga de Francolí (L')		
	086	Montblanc		
	107	Pira		
	130	Rocafort de Queralt		
	142	Sarral		
	146	Senan		
	147	Solivella		
	158	Vallclara		
	172	Vilaverd		
	176	Vimbodí		
				
	Comarca 06: Segarra			
				
	046	Conesa		
	061	Forès		
	073	Llorac		
	101	Passanant		
	105	Piles (Les)		
	141	Pontils		
	120	Querol		
	139	Santa Coloma de Queralt		
	143	Savallà del Comtat		
	159	Vallfogona de Riucorb		
				
	Comarca 07: Campo de Tarragona			
				
	003	Albiol (L')		
	005	Alcover		
	007	Aleixar (L')		
	009	Alforja		
	010	Alió		
	011	Almoster		
	012	Altafulla		
	017	Argentera (L')		
	031	Borges del Camp (Les)		
	033	Botarell		
	034	Bràfim		
	036	Cabra del Camp		
	038	Cambrils		
	042	Castellvell del Camp		
	043	Catllar (El)		
	045	Colldejou		
	047	Constantí		
	053	Duesaigües		
	059	Figuerola del Camp		
	066	Garidells (Els)		
	079	Masllorenç		
	080	Masó (La)		
	081	Maspujols		
	083	Milà (El)		
	088	Montbrió del Camp		
	089	Montferri		
	092	Mont-roig del Camp		
	095	Morell (El)		
	097	Nou de Gaià (La)		
	098	Nulles		
	100	Pallaresos (Els)		
	103	Perafort		
	108	Pla de Santa Maria (El)		
	109	Pobla de Mafumet (La)		
	111	Pobla de Montornès (La)		
	113	Pont d'Armentera (El)		
	118	Pratdip		
	119	Puigpelat		
	122	Renau		
	123	Reus		
	124	Riba (La)		
	126	Riera de Gaià (La)		
	127	Riudecanyes		
	128	Riudecols		
	129	Riudoms		
	132	Rodonyà		
	134	Rourell (El)		
	135	Salomó		
	905	Salou		
	144	Secuita (La)		
	145	Selva del Camp (La)		
	148	Tarragona		
	153	Torredembarra		
	160	Vallmoll		
	161	Valls		
	162	Vandellòs i l'Hospitalet de l		
	164	Vespella de Gaià		
	165	Vilabella		
	166	Vilallonga del Camp		
	167	Vilanova d'Escornalbou		
	169	Vilaplana		
	170	Vila-rodona		
	171	Vila-seca		
	178	Vinyols i els Arcs		
				
	Comarca 08: Bajo Penedés			
				
	001	Aiguamúrcia		
	002	Albinyana		
	016	Arboç (L')		
	020	Banyeres del Penedès		
	024	Bellvei		
	028	Bisbal del Penedès (La)		
	030	Bonastre		
	037	Calafell		
	050	Creixell		
	051	Cunit		
	074	Llorenç del Penedès		
	090	Montmell (El)		
	131	Roda de Barà		
	137	Sant Jaume dels Domenys		
	140	Santa Oliva		
	163	Vendrell (El)		
				
				
Teruel				
				
				
	Comarca 01: Cuenca del Jiloca			
				
	003	Aguatón		
	007	Alba		
	033	Báguena		
	034	Bañón		
	035	Barrachina		
	039	Bello		
	042	Blancas		
	046	Bueña		
	047	Burbáguena		
	050	Calamocha		
	056	Caminreal		
	065	Castejón de Tornos		
	076	Cella		
	112	Fuentes Claras		
	153	Monreal del Campo		
	168	Odón		
	169	Ojos Negros		
	190	Pozuel del Campo		
	200	Rubielos de la Cérida		
	207	San Martín del Río		
	209	Santa Eulalia		
	213	Singra		
	219	Tornos		
	220	Torralba de los Sisones		
	226	Torrelacárcel		
	228	Torremocha de Jiloca		
	232	Torrijo del Campo		
	251	Villafranca del Campo		
	261	Villarquemado		
				
	Comarca 02: Serranía de Montalbán			
				
	011	Alcaine		
	017	Aliaga		
	023	Allueva		
	020	Alpeñés		
	024	Anadón		
	032	Bádenas		
	036	Bea		
	055	Camarillas		
	062	Cañada Vellida		
	063	Cañizar del Olivar		
	066	Castel de Cabra		
	084	Cortes de Aragón		
	085	Cosa		
	087	Crivillén		
	090	Cucalón		
	093	Cuevas de Almudén		
	096	Ejulve		
	099	Escucha		
	100	Estercuel		
	101	Ferreruela de Huerva		
	102	Fonfría		
	110	Fuenferrada		
	111	Fuentes Calientes		
	116	Gargallo		
	123	Hinojosa de Jarque		
	124	Hoz de la Vieja (La)		
	125	Huesa del Común		
	128	Jarque de la Val		
	131	Josa		
	132	Lagueruela		
	133	Lanzuela		
	138	Loscos		
	142	Maicas		
	144	Martín del Río		
	148	Mezquita de Jarque		
	152	Monforte de Moyuela		
	155	Montalbán		
	164	Nogueras		
	167	Obón		
	176	Palomar de Arroyos		
	177	Pancrudo		
	184	Plou		
	195	Rillo		
	203	Salcedillo		
	208	Santa Cruz de Nogueras		
	211	Segura de los Baños		
	224	Torre de las Arcas		
	227	Torre los Negros		
	222	Torrecilla del Rebollar		
	238	Utrillas		
	252	Villahermosa del Campo		
	256	Villanueva del Rebollar de la		
	267	Vivel del Río Martín		
	268	Zoma (La)		
				
	Comarca 03: Bajo Aragón			
				
	004	Aguaviva		
	006	Alacón		
	008	Albalate del Arzobispo		
	013	Alcañiz		
	014	Alcorisa		
	022	Alloza		
	025	Andorra		
	027	Arens de Lledó		
	029	Ariño		
	031	Azaila		
	037	Beceite		
	038	Belmonte de San José		
	040	Berge		
	043	Blesa		
	044	Bordón		
	049	Calaceite		
	051	Calanda		
	061	Cañada de Verich (La)		
	071	Castellote		
	067	Castelnou		
	068	Castelserás		
	077	Cerollera (La)		
	080	Codoñera (La)		
	086	Cretas		
	105	Fórnoles		
	107	Foz-Calanda		
	108	Fresneda (La)		
	114	Fuentespalda		
	118	Ginebrosa (La)		
	122	Híjar		
	129	Jatiel		
	141	Lledó		
	145	Mas de las Matas		
	146	Mata de los Olmos (La)		
	147	Mazaleón		
	151	Molinos		
	154	Monroyo		
	161	Muniesa		
	172	Oliete		
	173	Olmos (Los)		
	178	Parras de Castellote (Las)		
	179	Peñarroya de Tastavins		
	187	Portellada (La)		
	191	Puebla de Híjar (La)		
	194	Ráfales		
	205	Samper de Calanda		
	212	Seno		
	223	Torre de Arcas		
	225	Torre del Compte		
	221	Torrecilla de Alcañiz		
	230	Torrevelilla		
	237	Urrea de Gaén		
	241	Valdealgorfa		
	245	Valdeltormo		
	246	Valderrobres		
	247	Valjunquera		
	265	Vinaceite		
				
	Comarca 04: Serranía de Albarracín			
				
	009	Albarracín		
	018	Almohaja		
	019	Alobras		
	041	Bezas		
	045	Bronchales		
	052	Calomarde		
	092	Cuervo (El)		
	109	Frías de Albarracín		
	117	Gea de Albarracín		
	119	Griegos		
	120	Guadalaviar		
	127	Jabaloyas		
	157	Monterde de Albarracín		
	159	Moscardón		
	163	Noguera de Albarracín		
	174	Orihuela del Tremedal		
	180	Peracense		
	189	Pozondón		
	197	Ródenas		
	198	Royuela		
	199	Rubiales		
	204	Saldón		
	215	Terriente		
	217	Toril y Masegoso		
	218	Tormón		
	229	Torres de Albarracín		
	235	Tramacastilla		
	243	Valdecuenca		
	249	Vallecillo (El)		
	250	Veguillas de la Sierra		
	257	Villar del Cobo		
	258	Villar del Salz		
				
	Comarca 05: Hoya de Teruel			
				
	002	Abejuela		
	010	Albentosa		
	016	Alfambra		
	026	Arcos de las Salinas		
	028	Argente		
	053	Camañas		
	054	Camarena de la Sierra		
	064	Cascante del Río		
	075	Celadas		
	082	Corbalán		
	089	Cubla		
	094	Cuevas Labradas		
	097	Escorihuela		
	115	Galve		
	135	Libros		
	136	Lidón		
	143	Manzanera		
	171	Olba		
	175	Orrios		
	181	Peralejos		
	182	Perales del Alfambra		
	192	Puebla de Valverde (La)		
	196	Riodeva		
	206	San Agustín		
	210	Sarrión		
	216	Teruel		
	231	Torrijas		
	234	Tramacastiel		
	239	Valacloche		
	240	Valbona		
	263	Villastar		
	264	Villel		
	266	Visiedo		
				
	Comarca 06: Maestrazgo			
				
	001	Ababuj		
	005	Aguilar del Alfambra		
	012	Alcalá de la Selva		
	021	Allepuz		
	048	Cabra de Mora		
	059	Cantavieja		
	060	Cañada de Benatanduz		
	070	Castellar (El)		
	074	Cedrillas		
	088	Cuba (La)		
	103	Formiche Alto		
	106	Fortanete		
	113	Fuentes de Rubielos		
	121	Gúdar		
	126	Iglesuela del Cid (La)		
	130	Jorcas		
	137	Linares de Mora		
	149	Mirambel		
	150	Miravete de la Sierra		
	156	Monteagudo del Castillo		
	158	Mora de Rubielos		
	160	Mosqueruela		
	165	Nogueruelas		
	183	Pitarque		
	185	Pobo (El)		
	193	Puertomingalvo		
	201	Rubielos de Mora		
	236	Tronchón		
	244	Valdelinares		
	260	Villarluengo		
	262	Villarroya de los Pinares		
				
				
Toledo				
				
				
	Comarca 01: Talavera			
				
	005	Alcañizo		
	007	Alcolea de Tajo		
	011	Almendral de la Cañada		
	017	Azután		
	022	Buenaventura		
	028	Calera y Chozas		
	029	Caleruela		
	030	Calzada de Oropesa		
	035	Cardiel de los Montes		
	043	Castillo de Bayuela		
	045	Cazalegas		
	046	Cebolla		
	048	Cerralbos (Los)		
	049	Cervera de los Montes		
	072	Herencias (Las)		
	073	Herreruela de Oropesa		
	074	Hinojosa de San Vicente		
	079	Iglesuela (La)		
	080	Illán de Vacas		
	082	Lagartera		
	086	Lucillos		
	089	Malpica de Tajo		
	093	Marrupe		
	097	Mejorada		
	104	Montearagón		
	105	Montesclaros		
	110	Navalcán		
	111	Navalmoralejo		
	114	Navamorcuende		
	125	Oropesa		
	130	Parrillas		
	132	Pepino		
	137	Pueblanueva (La)		
	138	Puente del Arzobispo (El)		
	144	Real de San Vicente (El)		
	150	San Bartolomé de las Abiertas		
	154	San Román de los Montes		
	159	Sartajada		
	160	Segurilla		
	164	Sotillo de las Palomas		
	165	Talavera de la Reina		
	169	Torralba de Oropesa		
	172	Torrico		
	179	Valdeverdeja		
	181	Velada		
	184	Ventas de San Julián (Las)		
				
	Comarca 02: Torrijos			
				
	003	Albarreal de Tajo		
	004	Alcabón		
	008	Aldea en Cabo		
	013	Almorox		
	015	Arcicóllar		
	018	Barcience		
	024	Burujón		
	031	Camarena		
	032	Camarenilla		
	036	Carmena		
	037	Carpio de Tajo (El)		
	039	Carriches		
	040	Casar de Escalona (El)		
	058	Domingo Pérez		
	060	Erustes		
	061	Escalona		
	062	Escalonilla		
	066	Fuensalida		
	068	Garciotum		
	069	Gerindote		
	076	Hormigos		
	077	Huecas		
	091	Maqueda		
	095	Mata (La)		
	099	Méntrida		
	100	Mesegar de Tajo		
	117	Nombela		
	118	Novés		
	120	Nuño Gómez		
	126	Otero		
	129	Paredes de Escalona		
	131	Pelahustán		
	134	Portillo de Toledo		
	136	Puebla de Montalbán (La)		
	143	Quismondo		
	147	Rielves		
	157	Santa Cruz del Retamar		
	158	Santa Olalla		
	901	Santo Domingo-Caudilla		
	171	Torre de Esteban Hambrán (La)		
	173	Torrijos		
	189	Villamiel de Toledo		
				
	Comarca 03: Sagra-Toledo			
				
	002	Alameda de la Sagra		
	014	Añover de Tajo		
	016	Argés		
	019	Bargas		
	021	Borox		
	023	Burguillos de Toledo		
	025	Cabañas de la Sagra		
	038	Carranque		
	041	Casarrubios del Monte		
	042	Casasbuenas		
	047	Cedillo del Condado		
	056	Chozas de Canales		
	051	Cobeja		
	052	Cobisa		
	055	Cuerva		
	064	Esquivias		
	067	Gálvez		
	070	Guadamur		
	081	Illescas		
	083	Layos		
	085	Lominchar		
	088	Magán		
	102	Mocejón		
	107	Nambroca		
	116	Noez		
	119	Numancia de la Sagra		
	122	Olías del Rey		
	127	Palomeque		
	128	Pantoja		
	133	Polán		
	140	Pulgar		
	145	Recas		
	161	Seseña		
	168	Toledo		
	174	Totanés		
	176	Ugena		
	180	Valmojado		
	183	Ventas de Retamosa (Las)		
	188	Villaluenga de la Sagra		
	196	Villaseca de la Sagra		
	199	Viso de San Juan (El)		
	201	Yeles		
	203	Yuncler		
	204	Yunclillos		
	205	Yuncos		
				
	Comarca 04: La Jara			
				
	006	Alcaudete de la Jara		
	009	Aldeanueva de Barbarroya		
	010	Aldeanueva de San Bartolomé		
	020	Belvís de la Jara		
	033	Campillo de la Jara (El)		
	063	Espinoso del Rey		
	065	Estrella (La)		
	103	Mohedas de la Jara		
	108	Nava de Ricomalillo (La)		
	112	Navalmorales (Los)		
	113	Navalucillos (Los)		
	139	Puerto de San Vicente		
	146	Retamoso		
	148	Robledo del Mazo		
	152	San Martín de Pusa		
	155	Santa Ana de Pusa		
	162	Sevilleja de la Jara		
	170	Torrecilla de la Jara		
	194	Villarejo de Montalbán		
				
	Comarca 05: Montes de Navahermosa			
				
	075	Hontanar		
	098	Menasalbas		
	109	Navahermosa		
	151	San Martín de Montalbán		
	153	San Pablo de los Montes		
	182	Ventas con Peña Aguilera (Las		
				
	Comarca 06: Montes de los Yébenes			
				
	001	Ajofrín		
	057	Chueca		
	092	Marjaliza		
	096	Mazarambroz		
	124	Orgaz		
	163	Sonseca		
	200	Yébenes (Los)		
				
	Comarca 07: La Mancha			
				
	012	Almonacid de Toledo		
	026	Cabañas de Yepes		
	027	Cabezamesada		
	034	Camuñas		
	050	Ciruelos		
	053	Consuegra		
	054	Corral de Almaguer		
	059	Dosbarrios		
	071	Guardia (La)		
	078	Huerta de Valdecarábanos		
	084	Lillo		
	087	Madridejos		
	090	Manzaneque		
	094	Mascaraque		
	101	Miguel Esteban		
	106	Mora		
	115	Noblejas		
	121	Ocaña		
	123	Ontígola		
	135	Puebla de Almoradiel (La)		
	141	Quero		
	142	Quintanar de la Orden		
	149	Romeral (El)		
	156	Santa Cruz de la Zarza		
	166	Tembleque		
	167	Toboso (El)		
	175	Turleque		
	177	Urda		
	186	Villa de Don Fadrique (La)		
	185	Villacañas		
	187	Villafranca de los Caballeros		
	190	Villaminaya		
	191	Villamuelas		
	192	Villanueva de Alcardete		
	193	Villanueva de Bogas		
	195	Villarrubia de Santiago		
	197	Villasequilla		
	198	Villatobas		
	202	Yepes		
				
				
Valencia				
				
				
	Comarca 01: Rincón de Ademuz			
				
	001	Ademuz		
	087	Casas Altas		
	088	Casas Bajas		
	092	Castielfabib		
	201	Puebla de San Miguel		
	242	Torrebaja		
	252	Vallanca		
				
	Comarca 02: Alto Turia			
				
	018	Alcublas		
	036	Alpuente		
	038	Andilla		
	041	Aras de Alpuente		
	050	Benagéber		
	079	Calles		
	106	Chelva		
	112	Chulilla		
	114	Domeño		
	141	Higueruelas		
	148	Loriguilla		
	149	Losa del Obispo		
	234	Sot de Chera		
	241	Titaguas		
	247	Tuéjar		
	258	Villar del Arzobispo		
	262	Yesa (La)		
				
	Comarca 03: Campos de Liria			
				
	051	Benaguasil		
	067	Benisanó		
	070	Bétera		
	076	Bugarra		
	089	Casinos		
	902	Gátova		
	133	Gestalgar		
	147	Llíria		
	161	Marines		
	182	Olocau		
	191	Pedralba		
	202	Pobla de Vallbona (la)		
	214	Riba-roja de Túria		
	256	Vilamarxant		
				
	Comarca 04: Requena-Utiel			
				
	080	Camporrobles		
	095	Caudete de las Fuentes		
	108	Chera		
	129	Fuenterrobles		
	213	Requena		
	229	Siete Aguas		
	232	Sinarcas		
	249	Utiel		
	254	Venta del Moro		
	259	Villargordo del Cabriel		
				
	Comarca 05: Hoya de Buñol			
				
	012	Alborache		
	026	Alfarp		
	077	Buñol		
	093	Catadau		
	109	Cheste		
	111	Chiva		
	099	Cortes de Pallás		
	115	Dos Aguas		
	136	Godelleta		
	156	Llombai		
	158	Macastre		
	172	Monserrat		
	176	Montroy		
	212	Real de Montroi		
	248	Turís		
	261	Yátova		
				
	Comarca 06: Sagunto			
				
	010	Albalat dels Tarongers		
	024	Alfara de Algimia		
	028	Algar de Palancia		
	030	Algimia de Alfara		
	052	Benavites		
	058	Benifairó de les Valls		
	082	Canet d'En Berenguer		
	117	Emperador		
	120	Estivella		
	122	Faura		
	134	Gilet		
	163	Massalfassar		
	164	Massamagrell		
	177	Museros		
	178	Náquera		
	192	Petrés		
	199	Pobla de Farnals (la)		
	205	Puçol		
	204	Puig		
	101	Quart de les Valls		
	103	Quartell		
	207	Rafelbuñol/Rafelbunyol		
	220	Sagunto/Sagunt		
	224	Segart		
	228	Serra		
	245	Torres Torres		
				
	Comarca 07: Huerta de Valencia			
				
	005	Alaquàs		
	007	Albal		
	009	Albalat dels Sorells		
	013	Alboraya		
	014	Albuixech		
	015	Alcácer		
	021	Aldaia		
	022	Alfafar		
	025	Alfara del Patriarca		
	032	Almàssera		
	054	Benetússer		
	065	Beniparrell		
	074	Bonrepòs i Mirambell		
	078	Burjassot		
	094	Catarroja		
	116	Eliana (l')		
	126	Foios		
	135	Godella		
	152	Lugar Nuevo de la Corona		
	159	Manises		
	165	Massanassa		
	166	Meliana		
	169	Mislata		
	171	Moncada		
	186	Paiporta		
	190	Paterna		
	193	Picanya		
	194	Picassent		
	102	Quart de Poblet		
	216	Rocafort		
	903	San Antonio de Benagéber		
	223	Sedaví		
	230	Silla		
	237	Tavernes Blanques		
	244	Torrent		
	250	Valencia		
	260	Vinalesa		
	110	Xirivella		
				
	Comarca 08: Riberas del Júcar			
				
	008	Albalat de la Ribera		
	011	Alberic		
	016	Alcàntera de Xúquer		
	019	Alcúdia (l')		
	029	Algemesí		
	031	Alginet		
	035	Almussafes		
	017	Alzira		
	040	Antella		
	053	Beneixida		
	060	Benifaió		
	063	Benimodo		
	064	Benimuslem		
	083	Carcaixent		
	084	Cárcer		
	085	Carlet		
	257	Castelló de la Ribera		
	098	Corbera		
	100	Cotes		
	105	Cullera		
	123	Favara		
	125	Fortaleny		
	130	Gavarda		
	139	Guadassuar		
	155	Llaurí		
	162	Masalavés		
	203	Pobla Llarga (la)		
	197	Polinyà de Xúquer		
	215	Riola		
	222	San Juan de Énova		
	225	Sellent		
	227	Senyera		
	233	Sollana		
	235	Sueca		
	236	Sumacàrcer		
	246	Tous		
				
	Comarca 09: Gandía			
				
	002	Ador		
	023	Alfauir		
	033	Almiserà		
	034	Almoines		
	037	Alquería de la Condesa/Alquer		
	046	Barx		
	048	Bellreguard		
	055	Beniarjó		
	059	Benifairó de la Valldigna		
	061	Beniflá		
	066	Benirredrà		
	091	Castellonet de la Conquesta		
	113	Daimús		
	127	Font d'En Carròs (la)		
	131	Gandia		
	140	Guardamar		
